;
; catches-in-kilos from all cod fleets
;
;<year> <step> <area> <fleet> <biomass>
2001 1 1 catch.trawlothers  12215197.6
2001 1 2 catch.trawlothers  43450311.6
2001 2 1 catch.trawlothers  17393019.1
2001 2 2 catch.trawlothers  26315558.0
2001 3 1 catch.trawlothers   9022343.2
2001 4 1 catch.trawlothers  23434471.9
2002 1 1 catch.trawlothers  10594594.5
2002 1 2 catch.trawlothers  49608163.8
2002 2 1 catch.trawlothers  28839717.2
2002 2 2 catch.trawlothers  25061666.6
2002 3 1 catch.trawlothers   7196273.4
2002 4 1 catch.trawlothers  18771377.7
2003 1 1 catch.trawlothers   8700718.3
2003 1 2 catch.trawlothers  55120929.0
2003 2 1 catch.trawlothers   8294482.5
2003 2 2 catch.trawlothers  27479378.7
2003 3 1 catch.trawlothers   9583197.2
2003 4 1 catch.trawlothers  23716193.6
2004 1 1 catch.trawlothers  15459666.4
2004 1 2 catch.trawlothers  59627990.9
2004 2 1 catch.trawlothers  18214280.8
2004 2 2 catch.trawlothers  21234243.6
2004 3 1 catch.trawlothers   8434306.3
2004 4 1 catch.trawlothers  28653384.0
2005 1 1 catch.trawlothers  13074057.6
2005 1 2 catch.trawlothers  46733823.4
2005 2 1 catch.trawlothers  19862302.0
2005 2 2 catch.trawlothers  28826403.6
2005 3 1 catch.trawlothers  15135714.4
2005 4 1 catch.trawlothers  28934623.1
2006 1 1 catch.trawlothers  10862439.2
2006 1 2 catch.trawlothers  45346341.0
2006 2 1 catch.trawlothers  17483260.8
2006 2 2 catch.trawlothers  26425631.1
2006 3 1 catch.trawlothers  15041918.3
2006 4 1 catch.trawlothers  30022889.2
2007 1 1 catch.trawlothers  12488253.7
2007 1 2 catch.trawlothers  43420248.7
2007 2 1 catch.trawlothers  16090255.5
2007 2 2 catch.trawlothers  24432448.7
2007 3 1 catch.trawlothers  12940938.1
2007 4 1 catch.trawlothers  28395083.0
2008 1 1 catch.trawlothers  12035302.5
2008 1 2 catch.trawlothers  45579624.2
2008 2 1 catch.trawlothers  16596507.2
2008 2 2 catch.trawlothers  21868036.0
2008 3 1 catch.trawlothers  11153930.8
2008 4 1 catch.trawlothers  26273659.2
2009 1 1 catch.trawlothers  12064095.8
2009 1 2 catch.trawlothers  43388563.2
2009 2 1 catch.trawlothers  25870534.6
2009 2 2 catch.trawlothers  16680995.1
2009 3 1 catch.trawlothers  21438754.7
2009 4 1 catch.trawlothers  44677830.4
2010 1 1 catch.trawlothers  15375756.6
2010 1 2 catch.trawlothers  67113624.2
2010 2 1 catch.trawlothers  23118563.7
2010 2 2 catch.trawlothers  25782617.7
2010 3 1 catch.trawlothers  21613287.3
2010 4 1 catch.trawlothers  35658293.7
2011 1 1 catch.trawlothers  24666960.2
2011 1 2 catch.trawlothers  68534755.0
2011 2 1 catch.trawlothers  23039360.6
2011 2 2 catch.trawlothers  32865703.3
2011 3 1 catch.trawlothers  26186311.4
2011 4 1 catch.trawlothers  53818266.2
2012 1 1 catch.trawlothers  25329713.0
2012 1 2 catch.trawlothers  85689805.9
2012 2 1 catch.trawlothers  20820076.5
2012 2 2 catch.trawlothers  24412435.1
2012 3 1 catch.trawlothers  27836372.4
2012 4 1 catch.trawlothers  58788585.9
2013 1 1 catch.trawlothers  32486184.8
2013 1 2 catch.trawlothers  92672150.1
2013 2 1 catch.trawlothers  36863600.8
2013 2 2 catch.trawlothers  38428502.0
2013 3 1 catch.trawlothers  39999165.2
2013 4 1 catch.trawlothers  97789336.1
2014 1 1 catch.trawlothers  27479011.8
2014 1 2 catch.trawlothers 118696448.2
2014 2 1 catch.trawlothers  34058447.4
2014 2 2 catch.trawlothers  32770180.3
2014 3 1 catch.trawlothers  51076208.4
2014 4 1 catch.trawlothers  74060215.4
2015 1 1 catch.trawlothers  31294926.6
2015 1 2 catch.trawlothers  80227221.4
2015 2 1 catch.trawlothers  32936119.5
2015 2 2 catch.trawlothers  48966753.5
2015 3 1 catch.trawlothers  37608991.6
2015 4 1 catch.trawlothers  70105969.4
2016 1 1 catch.trawlothers  41727287.9
2016 1 2 catch.trawlothers  86116449.8
2016 2 1 catch.trawlothers  32329730.6
2016 2 2 catch.trawlothers  38684148.0
2016 3 1 catch.trawlothers  37125492.1
2016 4 1 catch.trawlothers  66320714.5
2017 1 1 catch.trawlothers  35617544.5
2017 1 2 catch.trawlothers  87815625.3
2017 2 1 catch.trawlothers  44064010.7
2017 2 2 catch.trawlothers  33727993.8
2017 3 1 catch.trawlothers  47368569.9
2017 4 1 catch.trawlothers  56556425.6
1982 1 1 catch.russia   1531709
1982 2 1 catch.russia   7861352
1982 3 1 catch.russia  10771531
1982 4 1 catch.russia   6077146
1982 1 2 catch.russia   2710003
1982 2 2 catch.russia   2508317
1982 3 2 catch.russia    629633
1982 4 2 catch.russia    712666
1983 1 1 catch.russia     90461
1983 2 1 catch.russia    803996
1983 3 1 catch.russia   4485711
1983 4 1 catch.russia   2353294
1983 1 2 catch.russia   4931302
1983 2 2 catch.russia   1420524
1983 3 2 catch.russia    223318
1983 4 2 catch.russia   1293829
1984 1 1 catch.russia    144299
1984 2 1 catch.russia      5488
1984 3 1 catch.russia    802565
1984 4 1 catch.russia   9934189
1984 1 2 catch.russia    757779
1984 2 2 catch.russia    117434
1984 3 2 catch.russia     32121
1984 4 2 catch.russia   2866130
1985 1 1 catch.russia    360577
1985 2 1 catch.russia     12528
1985 3 1 catch.russia  30133604
1985 4 1 catch.russia     90977
1985 1 2 catch.russia   1017059
1985 2 2 catch.russia   2020272
1985 3 2 catch.russia    316870
1985 4 2 catch.russia   1250612
1986 1 1 catch.russia  22375048
1986 2 1 catch.russia   1533532
1986 3 1 catch.russia  36171202
1986 4 1 catch.russia   7184486
1986 1 2 catch.russia   3445720
1986 2 2 catch.russia  26803483
1986 3 2 catch.russia  21623088
1986 4 2 catch.russia   1634667
1987 1 1 catch.russia   7257538
1987 2 1 catch.russia  28426700
1987 3 1 catch.russia  29144462
1987 4 1 catch.russia   2973145
1987 1 2 catch.russia  47567329
1987 2 2 catch.russia  25543744
1987 3 2 catch.russia    220354
1987 4 2 catch.russia    956747
1988 1 1 catch.russia  29874390
1988 2 1 catch.russia   6744040
1988 3 1 catch.russia  38306695
1988 4 1 catch.russia   3168506
1988 1 2 catch.russia  27461021
1988 2 2 catch.russia   7772176
1988 3 2 catch.russia     85268
1988 4 2 catch.russia    357631
1989 1 1 catch.russia  22492646
1989 2 1 catch.russia   1538571
1989 3 1 catch.russia  57062995
1989 4 1 catch.russia    845633
1989 1 2 catch.russia  13884220
1989 2 2 catch.russia   8048379
1989 3 2 catch.russia      2019
1989 4 2 catch.russia    963540
1990 1 1 catch.russia   3127667
1990 2 1 catch.russia   3749821
1990 3 1 catch.russia  11547195
1990 4 1 catch.russia   1640033
1990 1 2 catch.russia  23209701
